INFO:root:Number of parameters: 77850
INFO:root:101: Acc-tr:  13.92, Acc-val:   9.96, L-tr: 2.2832, L-val: 2.3131
INFO:root:102: Acc-tr:  13.97, Acc-val:  10.08, L-tr: 2.2827, L-val: 2.3131
INFO:root:103: Acc-tr:  13.94, Acc-val:   9.94, L-tr: 2.2832, L-val: 2.3128
INFO:root:104: Acc-tr:  13.98, Acc-val:   9.95, L-tr: 2.2829, L-val: 2.3129
INFO:root:105: Acc-tr:  13.95, Acc-val:   9.90, L-tr: 2.2831, L-val: 2.3129
INFO:root:106: Acc-tr:  13.93, Acc-val:   9.92, L-tr: 2.2831, L-val: 2.3128
INFO:root:107: Acc-tr:  13.94, Acc-val:   9.92, L-tr: 2.2832, L-val: 2.3128
INFO:root:108: Acc-tr:  13.96, Acc-val:   9.86, L-tr: 2.2833, L-val: 2.3129
INFO:root:109: Acc-tr:  13.97, Acc-val:   9.98, L-tr: 2.2831, L-val: 2.3129
INFO:root:110: Acc-tr:  13.95, Acc-val:  10.01, L-tr: 2.2830, L-val: 2.3129
INFO:root:111: Acc-tr:  13.95, Acc-val:   9.94, L-tr: 2.2829, L-val: 2.3131
INFO:root:112: Acc-tr:  13.99, Acc-val:   9.85, L-tr: 2.2832, L-val: 2.3128
INFO:root:113: Acc-tr:  13.97, Acc-val:   9.84, L-tr: 2.2832, L-val: 2.3127
INFO:root:114: Acc-tr:  13.96, Acc-val:   9.92, L-tr: 2.2831, L-val: 2.3129
INFO:root:115: Acc-tr:  13.90, Acc-val:   9.91, L-tr: 2.2833, L-val: 2.3129
INFO:root:116: Acc-tr:  13.97, Acc-val:   9.95, L-tr: 2.2830, L-val: 2.3129
INFO:root:117: Acc-tr:  13.95, Acc-val:   9.99, L-tr: 2.2830, L-val: 2.3130
INFO:root:118: Acc-tr:  13.97, Acc-val:  10.02, L-tr: 2.2828, L-val: 2.3132
INFO:root:119: Acc-tr:  13.94, Acc-val:   9.85, L-tr: 2.2832, L-val: 2.3127
INFO:root:120: Acc-tr:  13.99, Acc-val:  10.01, L-tr: 2.2829, L-val: 2.3132
INFO:root:121: Acc-tr:  13.96, Acc-val:   9.97, L-tr: 2.2832, L-val: 2.3130
INFO:root:122: Acc-tr:  13.97, Acc-val:   9.86, L-tr: 2.2831, L-val: 2.3130
INFO:root:123: Acc-tr:  13.95, Acc-val:   9.92, L-tr: 2.2831, L-val: 2.3129
INFO:root:124: Acc-tr:  13.94, Acc-val:   9.93, L-tr: 2.2831, L-val: 2.3129
INFO:root:125: Acc-tr:  13.93, Acc-val:   9.99, L-tr: 2.2832, L-val: 2.3130
INFO:root:126: Acc-tr:  13.92, Acc-val:   9.92, L-tr: 2.2830, L-val: 2.3132
INFO:root:127: Acc-tr:  14.02, Acc-val:   9.94, L-tr: 2.2829, L-val: 2.3130
INFO:root:128: Acc-tr:  13.91, Acc-val:   9.95, L-tr: 2.2830, L-val: 2.3130
INFO:root:129: Acc-tr:  14.01, Acc-val:   9.98, L-tr: 2.2829, L-val: 2.3130
INFO:root:130: Acc-tr:  13.97, Acc-val:  10.04, L-tr: 2.2829, L-val: 2.3129
INFO:root:131: Acc-tr:  13.96, Acc-val:   9.90, L-tr: 2.2833, L-val: 2.3131
INFO:root:132: Acc-tr:  13.93, Acc-val:   9.96, L-tr: 2.2830, L-val: 2.3130
INFO:root:133: Acc-tr:  13.94, Acc-val:  10.10, L-tr: 2.2831, L-val: 2.3131
INFO:root:134: Acc-tr:  13.90, Acc-val:   9.89, L-tr: 2.2832, L-val: 2.3129
INFO:root:135: Acc-tr:  13.95, Acc-val:   9.90, L-tr: 2.2828, L-val: 2.3129
INFO:root:136: Acc-tr:  13.95, Acc-val:   9.93, L-tr: 2.2832, L-val: 2.3130
INFO:root:137: Acc-tr:  13.91, Acc-val:   9.95, L-tr: 2.2831, L-val: 2.3129
INFO:root:138: Acc-tr:  13.92, Acc-val:   9.99, L-tr: 2.2830, L-val: 2.3129
INFO:root:139: Acc-tr:  13.99, Acc-val:   9.95, L-tr: 2.2828, L-val: 2.3131
INFO:root:140: Acc-tr:  13.93, Acc-val:   9.92, L-tr: 2.2831, L-val: 2.3131
INFO:root:141: Acc-tr:  13.96, Acc-val:  10.02, L-tr: 2.2829, L-val: 2.3130
INFO:root:142: Acc-tr:  13.95, Acc-val:   9.93, L-tr: 2.2830, L-val: 2.3131
INFO:root:143: Acc-tr:  13.98, Acc-val:   9.86, L-tr: 2.2833, L-val: 2.3130
INFO:root:144: Acc-tr:  13.97, Acc-val:   9.98, L-tr: 2.2831, L-val: 2.3130
INFO:root:145: Acc-tr:  13.96, Acc-val:   9.99, L-tr: 2.2831, L-val: 2.3130
INFO:root:146: Acc-tr:  13.99, Acc-val:   9.94, L-tr: 2.2829, L-val: 2.3129
INFO:root:147: Acc-tr:  13.96, Acc-val:   9.84, L-tr: 2.2830, L-val: 2.3129
INFO:root:148: Acc-tr:  13.95, Acc-val:  10.00, L-tr: 2.2831, L-val: 2.3131
INFO:root:149: Acc-tr:  13.95, Acc-val:   9.93, L-tr: 2.2829, L-val: 2.3129
INFO:root:150: Acc-tr:  13.92, Acc-val:   9.86, L-tr: 2.2831, L-val: 2.3131
INFO:root:151: Acc-tr:  13.96, Acc-val:   9.76, L-tr: 2.2831, L-val: 2.3129
INFO:root:152: Acc-tr:  13.97, Acc-val:   9.83, L-tr: 2.2832, L-val: 2.3130
INFO:root:153: Acc-tr:  13.98, Acc-val:   9.98, L-tr: 2.2830, L-val: 2.3128
INFO:root:154: Acc-tr:  13.95, Acc-val:   9.98, L-tr: 2.2829, L-val: 2.3131
INFO:root:155: Acc-tr:  13.91, Acc-val:   9.92, L-tr: 2.2832, L-val: 2.3129
INFO:root:156: Acc-tr:  13.94, Acc-val:   9.84, L-tr: 2.2834, L-val: 2.3128
INFO:root:157: Acc-tr:  13.97, Acc-val:   9.89, L-tr: 2.2832, L-val: 2.3131
INFO:root:158: Acc-tr:  13.97, Acc-val:   9.88, L-tr: 2.2830, L-val: 2.3129
INFO:root:159: Acc-tr:  13.95, Acc-val:   9.94, L-tr: 2.2830, L-val: 2.3130
INFO:root:160: Acc-tr:  13.92, Acc-val:   9.98, L-tr: 2.2829, L-val: 2.3130
INFO:root:161: Acc-tr:  13.93, Acc-val:   9.90, L-tr: 2.2832, L-val: 2.3130
INFO:root:162: Acc-tr:  13.96, Acc-val:   9.90, L-tr: 2.2831, L-val: 2.3129
INFO:root:163: Acc-tr:  13.98, Acc-val:  10.01, L-tr: 2.2831, L-val: 2.3130
INFO:root:164: Acc-tr:  13.93, Acc-val:   9.87, L-tr: 2.2832, L-val: 2.3128
INFO:root:165: Acc-tr:  13.95, Acc-val:   9.98, L-tr: 2.2830, L-val: 2.3132
INFO:root:166: Acc-tr:  13.92, Acc-val:   9.86, L-tr: 2.2831, L-val: 2.3130
INFO:root:167: Acc-tr:  13.99, Acc-val:  10.03, L-tr: 2.2830, L-val: 2.3129
INFO:root:168: Acc-tr:  13.94, Acc-val:   9.97, L-tr: 2.2830, L-val: 2.3130
INFO:root:169: Acc-tr:  13.95, Acc-val:   9.85, L-tr: 2.2831, L-val: 2.3130
INFO:root:170: Acc-tr:  13.98, Acc-val:   9.89, L-tr: 2.2832, L-val: 2.3129
INFO:root:171: Acc-tr:  13.99, Acc-val:   9.88, L-tr: 2.2831, L-val: 2.3129
INFO:root:172: Acc-tr:  13.93, Acc-val:   9.90, L-tr: 2.2830, L-val: 2.3130
INFO:root:173: Acc-tr:  13.96, Acc-val:   9.89, L-tr: 2.2832, L-val: 2.3130
INFO:root:174: Acc-tr:  13.99, Acc-val:   9.88, L-tr: 2.2831, L-val: 2.3129
INFO:root:175: Acc-tr:  13.96, Acc-val:   9.98, L-tr: 2.2830, L-val: 2.3130
INFO:root:176: Acc-tr:  13.89, Acc-val:   9.86, L-tr: 2.2831, L-val: 2.3130
INFO:root:177: Acc-tr:  13.95, Acc-val:   9.86, L-tr: 2.2828, L-val: 2.3131
INFO:root:178: Acc-tr:  13.96, Acc-val:   9.87, L-tr: 2.2831, L-val: 2.3129
INFO:root:179: Acc-tr:  13.95, Acc-val:   9.90, L-tr: 2.2831, L-val: 2.3130
INFO:root:180: Acc-tr:  13.90, Acc-val:   9.96, L-tr: 2.2831, L-val: 2.3130
INFO:root:181: Acc-tr:  13.98, Acc-val:   9.84, L-tr: 2.2833, L-val: 2.3128
INFO:root:182: Acc-tr:  13.93, Acc-val:   9.85, L-tr: 2.2833, L-val: 2.3128
INFO:root:183: Acc-tr:  13.92, Acc-val:   9.90, L-tr: 2.2832, L-val: 2.3130
INFO:root:184: Acc-tr:  13.94, Acc-val:  10.03, L-tr: 2.2830, L-val: 2.3130
INFO:root:185: Acc-tr:  13.96, Acc-val:   9.97, L-tr: 2.2830, L-val: 2.3130
INFO:root:186: Acc-tr:  13.97, Acc-val:   9.95, L-tr: 2.2829, L-val: 2.3129
INFO:root:187: Acc-tr:  13.96, Acc-val:   9.98, L-tr: 2.2830, L-val: 2.3132
INFO:root:188: Acc-tr:  13.92, Acc-val:   9.88, L-tr: 2.2832, L-val: 2.3130
INFO:root:189: Acc-tr:  13.98, Acc-val:   9.86, L-tr: 2.2833, L-val: 2.3129
INFO:root:190: Acc-tr:  13.89, Acc-val:   9.89, L-tr: 2.2832, L-val: 2.3129
INFO:root:191: Acc-tr:  13.93, Acc-val:   9.84, L-tr: 2.2831, L-val: 2.3129
INFO:root:192: Acc-tr:  13.91, Acc-val:   9.99, L-tr: 2.2829, L-val: 2.3131
INFO:root:193: Acc-tr:  13.95, Acc-val:   9.96, L-tr: 2.2830, L-val: 2.3131
INFO:root:194: Acc-tr:  13.95, Acc-val:   9.93, L-tr: 2.2830, L-val: 2.3130
INFO:root:195: Acc-tr:  13.97, Acc-val:   9.90, L-tr: 2.2831, L-val: 2.3130
INFO:root:196: Acc-tr:  13.97, Acc-val:   9.87, L-tr: 2.2832, L-val: 2.3128
INFO:root:197: Acc-tr:  13.97, Acc-val:   9.87, L-tr: 2.2830, L-val: 2.3131
INFO:root:198: Acc-tr:  13.95, Acc-val:   9.99, L-tr: 2.2832, L-val: 2.3131
INFO:root:199: Acc-tr:  13.97, Acc-val:   9.90, L-tr: 2.2830, L-val: 2.3130
