INFO:root:Number of parameters: 369498
INFO:root:080: Acc-tr:  78.73, Acc-val:   9.92, L-tr: 0.6238, L-val: 4.9064
INFO:root:081: Acc-tr:  64.77, Acc-val:  10.12, L-tr: 1.1535, L-val: 5.5913
INFO:root:082: Acc-tr:  67.05, Acc-val:   9.85, L-tr: 0.9812, L-val: 5.3949
INFO:root:083: Acc-tr:  66.59, Acc-val:   9.41, L-tr: 0.9633, L-val: 5.2533
INFO:root:084: Acc-tr:  76.05, Acc-val:  10.08, L-tr: 0.7606, L-val: 5.2642
INFO:root:085: Acc-tr:  81.65, Acc-val:   9.95, L-tr: 0.5376, L-val: 5.1246
INFO:root:086: Acc-tr:  62.15, Acc-val:  10.13, L-tr: 1.1316, L-val: 5.5532
INFO:root:087: Acc-tr:  73.03, Acc-val:   9.97, L-tr: 0.7986, L-val: 5.3793
INFO:root:088: Acc-tr:  73.67, Acc-val:  10.25, L-tr: 0.7755, L-val: 5.3105
INFO:root:089: Acc-tr:  61.65, Acc-val:   9.99, L-tr: 1.1604, L-val: 5.5780
INFO:root:090: Acc-tr:  76.29, Acc-val:  10.30, L-tr: 0.7093, L-val: 5.1682
INFO:root:091: Acc-tr:  74.57, Acc-val:  10.55, L-tr: 0.7391, L-val: 5.3763
INFO:root:092: Acc-tr:  54.79, Acc-val:   9.40, L-tr: 1.4567, L-val: 6.4419
INFO:root:093: Acc-tr:  73.29, Acc-val:  10.20, L-tr: 0.7956, L-val: 5.2231
INFO:root:094: Acc-tr:  73.16, Acc-val:  10.20, L-tr: 0.8044, L-val: 5.2953
INFO:root:095: Acc-tr:  67.85, Acc-val:  10.34, L-tr: 0.9469, L-val: 5.7053
INFO:root:096: Acc-tr:  67.36, Acc-val:  10.05, L-tr: 0.9704, L-val: 5.2971
INFO:root:097: Acc-tr:  62.82, Acc-val:  10.01, L-tr: 1.2183, L-val: 5.9597
INFO:root:098: Acc-tr:  79.97, Acc-val:  10.02, L-tr: 0.5901, L-val: 5.3688
INFO:root:099: Acc-tr:  83.56, Acc-val:  10.37, L-tr: 0.4948, L-val: 5.0310
INFO:root:100: Acc-tr:  78.47, Acc-val:  10.37, L-tr: 0.6372, L-val: 5.1856
INFO:root:101: Acc-tr:  74.05, Acc-val:  10.62, L-tr: 0.7489, L-val: 5.0053
INFO:root:102: Acc-tr:  72.52, Acc-val:  10.22, L-tr: 0.8173, L-val: 5.5158
INFO:root:103: Acc-tr:  63.37, Acc-val:   9.95, L-tr: 1.1194, L-val: 5.6549
INFO:root:104: Acc-tr:  71.24, Acc-val:  10.35, L-tr: 0.9391, L-val: 5.7260
INFO:root:105: Acc-tr:  73.94, Acc-val:  10.05, L-tr: 0.7757, L-val: 5.3266
INFO:root:106: Acc-tr:  75.02, Acc-val:  10.08, L-tr: 0.7479, L-val: 5.5981
INFO:root:107: Acc-tr:  76.37, Acc-val:  10.73, L-tr: 0.6918, L-val: 5.2448
INFO:root:108: Acc-tr:  78.21, Acc-val:  10.25, L-tr: 0.6286, L-val: 5.0824
INFO:root:109: Acc-tr:  76.43, Acc-val:  10.59, L-tr: 0.6731, L-val: 5.4424
INFO:root:110: Acc-tr:  74.46, Acc-val:  10.21, L-tr: 0.7478, L-val: 5.4081
INFO:root:111: Acc-tr:  76.02, Acc-val:  10.24, L-tr: 0.7005, L-val: 5.1855
INFO:root:112: Acc-tr:  75.09, Acc-val:  10.22, L-tr: 0.7216, L-val: 5.0969
INFO:root:113: Acc-tr:  60.66, Acc-val:   9.53, L-tr: 1.2689, L-val: 6.2305
INFO:root:114: Acc-tr:  76.65, Acc-val:  10.36, L-tr: 0.6760, L-val: 5.0752
INFO:root:115: Acc-tr:  65.52, Acc-val:  10.15, L-tr: 1.0414, L-val: 5.8647
INFO:root:116: Acc-tr:  75.01, Acc-val:  10.23, L-tr: 0.7310, L-val: 5.4286
INFO:root:117: Acc-tr:  64.95, Acc-val:   9.91, L-tr: 1.1673, L-val: 5.8517
INFO:root:118: Acc-tr:  68.37, Acc-val:  10.39, L-tr: 0.9866, L-val: 6.0839
INFO:root:119: Acc-tr:  75.58, Acc-val:  10.17, L-tr: 0.7097, L-val: 5.5514
INFO:root:120: Acc-tr:  79.62, Acc-val:  10.28, L-tr: 0.6004, L-val: 5.2075
INFO:root:121: Acc-tr:  61.60, Acc-val:  10.09, L-tr: 1.1776, L-val: 6.3249
INFO:root:122: Acc-tr:  78.87, Acc-val:  10.38, L-tr: 0.6197, L-val: 5.3670
INFO:root:123: Acc-tr:  74.78, Acc-val:  10.37, L-tr: 0.7489, L-val: 5.4396
INFO:root:124: Acc-tr:  62.86, Acc-val:  10.11, L-tr: 1.2600, L-val: 6.4334
INFO:root:125: Acc-tr:  66.67, Acc-val:  10.06, L-tr: 1.0092, L-val: 5.6523
INFO:root:126: Acc-tr:  77.03, Acc-val:  10.39, L-tr: 0.6684, L-val: 5.3175
INFO:root:127: Acc-tr:  67.78, Acc-val:  10.10, L-tr: 1.0178, L-val: 6.0151
INFO:root:128: Acc-tr:  70.51, Acc-val:  10.18, L-tr: 0.8692, L-val: 5.4325
INFO:root:129: Acc-tr:  80.58, Acc-val:  10.44, L-tr: 0.5627, L-val: 5.1564
INFO:root:130: Acc-tr:  72.86, Acc-val:  10.22, L-tr: 0.8510, L-val: 5.5873
INFO:root:131: Acc-tr:  67.74, Acc-val:   9.87, L-tr: 1.0603, L-val: 5.7343
INFO:root:132: Acc-tr:  73.72, Acc-val:  10.44, L-tr: 0.8027, L-val: 5.6979
INFO:root:133: Acc-tr:  67.25, Acc-val:   9.37, L-tr: 0.9883, L-val: 5.8972
INFO:root:134: Acc-tr:  78.31, Acc-val:  10.17, L-tr: 0.6428, L-val: 5.5297
INFO:root:135: Acc-tr:  71.11, Acc-val:  10.09, L-tr: 0.9002, L-val: 5.9496
INFO:root:136: Acc-tr:  73.98, Acc-val:  10.09, L-tr: 0.7759, L-val: 5.3541
INFO:root:137: Acc-tr:  74.26, Acc-val:  10.16, L-tr: 0.8118, L-val: 5.5808
INFO:root:138: Acc-tr:  63.52, Acc-val:  10.10, L-tr: 1.1534, L-val: 6.2406
